brand,category,description,details,finition,image_urls,sku,stock,title,type,url,variure
Stremler ASSA ABLOY,,"
","{'Nombre de points de fermeture:': '3', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--q56YQxZF--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_238281_.jpeg",020074,Aucun magasin sélectionné,Serrure 3 points TF3 pêne dormant à rouleau 39mm têtière en U 24 x 6 STREMLER 6374.39.0A,,https://www.afdb.fr/stremler-assa-abloy-serrure-3-points-tf3-pene-dormant-rouleau-stremler-serie-6374_SKUM8098.html,
MERMIER,,"
","{'Nombre de pièces:': '2', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--mhbeYNPX--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_245895_.jpeg",392671,Aucun magasin sélectionné,Fixation pour barre de sécurité,,https://www.afdb.fr/mermier-fixation-barre-securite_SKUM127266.html,
MERMIER,,"
",{'Nombre de pièces:': '1'},,"https://res.cloudinary.com/afdb/image/upload/s--_KUXPEYm--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_256842_.jpeg",407038,Aucun magasin sélectionné,Support fléau sécurité zingué déport 10 mm MERMIER M-329500,,https://www.afdb.fr/mermier-supports-mermier-barre-securite-deport-10-mm-329500_SKUM127265.html,
DINAC,,"
","{'Type de pose:': 'A coller', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--DNaydn3_--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_261352_.jpeg",075395,Aucun magasin sélectionné,"Bande seuil inox adhésif 0,93 mm DINAC 0011020",,https://www.afdb.fr/dinac-seuils-adhesives-plats-dinac-trafic-tertiaire_SKUM5933.html,
HERCULE,,"
",{'Article:': 'Barre de sécurité'},,"https://res.cloudinary.com/afdb/image/upload/s--nPpirigw--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_265496_.jpeg",075365,Aucun magasin sélectionné,Barre de sécurité 2 articulations,,https://www.afdb.fr/hercule-barre-securite-2-articulations_SKUM5783.html,
DINAC,,"
","{'Matière:': 'Inox 430', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--VO3XryIy--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_261412_.jpeg",219924,Indisponible,"Bande seuil inox à vis 0,73 mm DINAC 2013000",,https://www.afdb.fr/dinac-seuil-visser-plat-trafic-tertiaire_SKUM5932.html,
TORBEL,,"
",{'Type de produit:': 'Verrou à douille'},,"https://res.cloudinary.com/afdb/image/upload/s--BkNigeoF--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_263584_.jpeg",589614,Aucun magasin sélectionné,Verrou pistolet zingué 435 12 mm TORBEL M-503123,,https://www.afdb.fr/torbel-verrou-pistolet-torbel-zingue_SKUM8901.html,
JARDINIER MASSARD,,"
","{'Finition:': 'Zingué blanc', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--Kzr96L2U--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_263292_.jpeg",007175,Aucun magasin sélectionné,Verrou pistolet à ressort 14 mm inox zingué blanc JARDINIER MASSARD 522381,,https://www.afdb.fr/jardinier-massard-verrou-pistolet-jardinier-massard-ressort-522381_SKUM39243.html,
JARDINIER MASSARD,,"
",{'Diamètre de perçage:': '4.5 mm'},,"https://res.cloudinary.com/afdb/image/upload/s--MLO8T5co--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_129286_.jpeg",005897,Aucun magasin sélectionné,Arrêt de persienne à brossage droite finition zinguée Jardinier Massard BF382703,,https://www.afdb.fr/jardinier-massard-arret-persienne-brossage-jardinier-massard-zinguee-blanc-bf382_SKUM5775.html,
LOCINOX,,"
","{'Article:': 'Gâche au sol pour verrou', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--pNgikeQ0--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_263260_.jpeg",585516,Aucun magasin sélectionné,Butée de sol économique LOCINOX P00006488,,https://www.afdb.fr/locinox-gache-sceller-locinox-verrou-baionette_SKUM34110.html,
